efternamn,tilltalsnamn,parti,valkrets,fodd_ar,examen,studietid_ar,studietid_not,yrkesar_ex_politik,yrkesar_totalt,yrkesar_not,utbildning_raw,anstallningar_raw
"Tegnér","Mathias","S","Stockholms län","1979","Fil.kand.","10","härledd 1998→2008","9","9","spann-summa","Gymnasieskola, Tyresö, slutår 98. Fil.kand. historia, Stockholms universitet 00–02. Civilekonom, Handelshögskolan 05–08.","Reseledare, Fritidsresor, 03–05. Busschaufför (extra), Swebus 05–08. Accounting Controller, Hennes & Mauritz AB 09–10, Accounting Manager 10–13 och Head of Corporate Accounting 14."
"Thuresson","Magdalena","M","Stockholms län","1990","förvaltning","","ett årtal (studietid ej härledbar)","9","12","spann-summa; 2 politiskt segment borträknat","Gymnasieskola, Norrtälje, slutår 09. Studier i politik och förvaltning, idéhistoria och praktisk retorik, Stockholms universitet.","Kafébiträde, Café Hörnan, Norrtälje 06–09. Våningsvärdinna, Hotell Radisson Blu 09–10. Kafébiträde, Brödboden 10–11. Ombudsman, Moderata ungdomsförbundet, Stockholm 11–12. Chefsombudsman, Moderata ungdomsförbundet, Stockholm 12–14. Vd-assistent, Amasten Fastighets AB 14–18."
"Vikström","Anna","S","Stockholms län","1957","katastrofutbildning; Kandidatexamen; Med. dr","33","härledd 1978→2011","47","47","spann-summa, pågående=2025","Leg. sjuksköterska 78. Leg. barnmorska 81. Bistånds- och katastrofutbildning 84. Databas- och informationsarkitekt 01. Kandidatexamen, Karolinska Institutet 05. Magister i hälsoinformatik, Karolinska Institutet 05. Med. dr, Karolinska Institutet 11.","Undersköterska 76–77. Leg. sjuksköterska 78–81. Barnmorska, Danderyds sjukhus 81–97. Facklig företrädare (heltid) 89–96. Programansvarig, Huddinge universitetssjukhus 98–02. Sektionschef, projektledare, medicininformatiker 02–13. Forsknings- och forskarassistent (deltid) 05–15, extern handledare/examinator 17–18, Karolinska Institutet. Anknuten forskare, Karolinska institutet 12–23. Medicininformatiker, it-/informationsarkitekt Region Stockholm 12–."
"Völker","Alexandra","S","Stockholms län","1989","","","Utbildning saknas","","","Anställningar saknas","",""
"Westlund","Åsa","S","Stockholms län","1976","Fil.mag.","4","härledd 1997→2001","2","24","spann-summa, pågående=2025; 1 politiskt segment borträknat","Fil.mag., statsvetenskap, 00. Juridikstudier, Göteborgs universitet 97–01.","Politiskt sakkunnig, Utbildningsdepartementet 01. Förbundsordförande, S-studenter 01–03. Politisk sekreterare, Socialdemokraternas partistyrelse 03–."
"Yurkovskiy","Leonid","SD","Stockholms län","1995","","","Utbildning saknas","","","Anställningar saknas","",""
"af Sillén","Anna","M","Södermanlands län","1976","","","Utbildning saknas","","","Anställningar saknas","",""
"Amloh","Sofia","S","Södermanlands län","1986","","","Utbildning saknas","","","Anställningar saknas","",""
"Ekström","Hans","S","Södermanlands län","1958","Ämneslärarexamen","5","härledd 1977→1982","10","10","spann-summa","Gymnasieskola, naturvetenskaplig linje, S:t Eskils skola i Eskilstuna, slutår 77. Ämneslärarexamen (historia, samhällskunskap och religion), slutår 82.","Lärare, Eskilstuna kommun 82–92."
"Eriksson Falk","Mattias","SD","Södermanlands län","1990","Yrkesutbildning","10","härledd 2010→2020","2","2","spann-summa; 1 politiskt segment borträknat","Gymnasieskola, fordonsprogrammet, Borgarskolan, Gävle, slutår 10. Yrkesutbildning, Komvux Gävle, slutår 12. Juridisk översiktskurs, Uppsala universitet, 19–20.","Lastbilschaufför, JB Fraktkonsult AB, 11. Busschaufför, Nobina Sverige AB 12. Busschaufför, Nettbuss Stadsbussarna AB 12–13. Busschaufför, KR trafik AB 14–15. Valorganisatör, Sverigedemokraterna Gävleborg 14. Politisk sekreterare, Region Gävleborg 19."
"Helmersson Olsson","Caroline","S","Södermanlands län","1963","","","ett årtal (studietid ej härledbar)","21","43","spann-summa, pågående=2025; 1 politiskt segment borträknat","Gymnasieskola, vårdlinjen, Katrineholm, slutår 82.","Undersköterska/vårdbiträde, Vingåkers kommun 82–03. Projektsamordnare, Vingåkers kommun 98–99. Assistent, Vingåkers kommun 99–02. Föreståndare, Vingåkers kommun 00. Bitr. områdeschef, Vingåkers kommun 02. Ombudsman, Socialdemokraterna 03–."
