efternamn,tilltalsnamn,parti,valkrets,fodd_ar,examen,studietid_ar,studietid_not,yrkesar_ex_politik,yrkesar_totalt,yrkesar_not,utbildning_raw,anstallningar_raw
"Olin","Mona","SD","Kalmar län","1967","","8","härledd 1986→1994","36","36","spann-summa","Gymnasieskola, Strömbergsskolan, Lund, slutår 86. Enstaka kurser, Lunds universitet 94.","Butiksbiträde, Ica i Hjärup 86–90. Sekreterare, OSM AB, Malmö 90–91. Sekreterare, Astra Draco/AstraZeneca, Lund 91–01. Ekonomiansvarig och affärskoordinator för service och försäljning, CRS Robotics/Thermo Fischer Scientific, Lund 01–11. Assistent, ILME SpA, Milano 11–12. Ekonomiansvarig, ILME Nordic AB, Löddeköpinge 12–22."
"Haider","Monica","S","Kronobergs län","1963","Gymnasieingenjör","13","härledd 1988→2001","18","18","spann-summa","Nioårig grundskola. Gymnasieingenjör maskin, Hässleholms tekniska 88–90. Statskunskap, Lunds universitet 97–01.","Sömmerska, Petris AB, Vislanda 79–86. Au pair, Chicago 83–84. Metallarbetare, Proton Cartec/EVAB, Eneryda 86–90. Instruktör, Samhall Dacke AB 90–97."
"Karlsson","Mattias","SD","Kronobergs län","1977","","","Utbildning saknas","","","Anställningar saknas","",""
"Nyberg","Katja","-","Kronobergs län","1971","","","Utbildning saknas","","","Anställningar saknas","",""
"Olesen","Robert","S","Kronobergs län","1975","","","Utbildning saknas","","","Anställningar saknas","",""
"Ragnarsson","Thomas","M","Kronobergs län","1970","Sjuksköterskeutbildning","7","härledd 1994→2001","36","36","spann-summa, pågående=2025","Sjuksköterskeutbildning, slutår 94, specialistsjuksköterska ambulans 00 och anestesi 01.","Kronobergs läns landsting/Region Kronoberg 89–."
"Rosengren","Oliver","M","Kronobergs län","1992","Pol.kand.","13","härledd 2008→2021","4","4","spann-summa","ProCivitas, Växjö 08–11. Pol.kand., Linnéuniversitetet, Växjö 16. Ekonomie master, Linnéuniversitetet 21.","Max Hamburgerrestauranger 10–13. Vikarie, Stentrollets förskola 11–13. Kommunikatör, Moderaterna 13–14."
"Carlsson","Rose-Marie","S","Malmö kommun","1954","","","inga årtal","48","48","spann-summa","Grundskola. 2-årig vårdlinje. Kunskapslyftet, omvårdnadsteori, socialpsykologi och hälso- och sjukvårdsadministration.","Undersköterska, SUS Malmö 73–21."
"Eklund","Louise","L","Malmö kommun","1979","","","inga årtal","","","Anställningar saknas","Ph. D., European University Institute, Florens. MSc, History of International Relations, London School oc Economics and Political Science, London. BA, Philosophy, Politics and Economics (PPE), Oxford University.",""
"El-Haj","Jamal","-","Malmö kommun","1960","","","Utbildning saknas","","","Anställningar saknas","",""
"Gholam Ali Pour","Nima","SD","Malmö kommun","1981","Fil. mag.; Ämneslärarexamen; inriktning","11","härledd 2005→2016","6","10","spann-summa; 1 politiskt segment borträknat","Fil. mag. Internationell migration och etniska relationer, Malmö universitet 05. Ämneslärarexamen med inriktning mot arbete i grundskolans årskurs 7–9, Malmö univeritet 16.","Redaktionsassistent, Tidskriften Mana 06–10. Lärare, Eslövs kommun 16–18. Politisk sekreterare, Malmö kommun 18–22."
"Jallow","Malcolm Momodou","-","Malmö kommun","1975","","","Utbildning saknas","","","Anställningar saknas","",""
"Ollén","Peter","M","Malmö kommun","1959","","4","härledd 1977→1981","37","37","spann-summa","Humanistisk linje, Pildammsskolan, Malmö, slutår 77. Grafonom, Den Grafiske Højskole, Köpenhamn 81.","Lärare, Den Grafiske Höjskole 84–87. Bitr. direktör, Grafiska Industriförbundet 87–90 och Elanders 90–93. Förläggare, AGI Publishing House 93–21. Koncernchef, Academedia 00–01."
"Paarup-Petersen","Niels","C","Malmö kommun","1978","","17","härledd 1993→2010","13","13","spann-summa; 1 politiskt segment borträknat","Grundskola, Povlsbjergskolen, Vojens Danmark, slutår 93. Sydvestfyns Efterskole, Glamsbjerg Danmark 93–94. Haderslev Handelsskole, Danmark 94–97. Studier i statsvetenskap, universiteten i Århus och Köpenhamn 98–10.","Studentmedarbetare och projektanställd, Öresundsbron 04–06. Analytiker, Öresundsinstitutet 06–08. Ekonom och pressmedarbetare, BRF kredit 09. Egenföretagare, Nuddson 09–18. Politisk sekreterare, Region Skåne 09–14. Konsult, frilans, Mannov 11–15. Strateg, Giv Akt 15–16. Seniorkonsult, Gullers Grupp 16–18."
"Rahm","Tony","M","Malmö kommun","1987","","","Utbildning saknas","","","Anställningar saknas","",""
"Reslow","Patrick","SD","Malmö kommun","1970","Jur.kand.; Pol.mag.","12","härledd 1986→1998","25","25","spann-summa, pågående=2025; 1 politiskt segment borträknat","Gymnasieskola, Ystad 86–90. Wooster High School, Ohio, USA 87–88. Jur.kand., Lunds universitet, 96. Erasmusstudier, Universität Trier, Tyskland 95. Pol.mag., Lunds universitet 97. Master of European Affairs, Lunds universitet 98.","Forskarstuderande, Lunds universitet 00–. Eslövs folkhögskola 02–10. Politisk sekreterare, Malmö kommun 06–10."
"Sandell","Joakim","S","Malmö kommun","1975","utbildning","","ett årtal (studietid ej härledbar)","","","inga daterade spann","Gymnasieskola, Växjö, slutår 94. Enstaka kurser, Linnéuniversitetet och Lunds universitet. Praktisk pedagogisk utbildning, Malmö universitet.","Ombudsman, Malmö arbetarekommun. Lärare, John Bauergymnasiet, Ystad."
"Tängmark Roos","Malte","MP","Malmö kommun","1994","","","Utbildning saknas","","","Anställningar saknas","",""
"Karkiainen","Ida","S","Norrbottens län","1988","inriktning; pol. mag","7","härledd 2003→2010","20","20","spann-summa, pågående=2025","Gymnasieskola, naturvetenskapliga programmet med inriktning miljövetenskap, Tornedalsskolan, Haparanda 03–06. Studier på pol. mag-programmet, Luleå tekniska universitet 06–10.","Butiksbiträde, Ica Supermarket samt Ica Maxi 05–10. Fritidsledare, Station – Ungdomens Hus, Haparanda stad 07–10. Projektledare, kommunledningen, Haparanda 10–11. Strateg, Norrbottens läns landsting 11–."
"Karlsson","Mattias","M","Norrbottens län","1972","","","Utbildning saknas","","","Anställningar saknas","",""
"Lahti","Birger","V","Norrbottens län","1964","Utbildning; utbildningar","","inga årtal","30","30","spann-summa","Grundskola. Utbildning via arbetsgivaren. Fackliga utbildningar.","Domänverket 82–83. Domänskog AB, Assi-Domän, Sveaskog – olika skogsarbeten 85–14."
"Leghissa","Zara","S","Norrbottens län","1970","","","Utbildning saknas","","","Anställningar saknas","",""
"Lundh Sammeli","Fredrik","S","Norrbottens län","1977","","3","härledd 1996→1999","26","26","spann-summa, pågående=2025","Gymnasieskola, naturvetenskapsprogrammet, Piteå, slutår 96. Flygvapnets officershögskola, Halmstad, slutår 99.","Officer, Norrbottens flygflottilj F21 99–. Projektledare, nätverket 1 000 unga socialdemokrater 04–05."
"Palmqvist","Eric","SD","Norrbottens län","1970","","","Utbildning saknas","","","Anställningar saknas","",""
"Sköld","Linus","S","Norrbottens län","1983","Lärarutbildning","15","härledd 2002→2017","17","17","spann-summa, pågående=2025","Heleneholms gymnasium, Malmö, slutår 02. Lärarutbildning, Malmö högskola, examen 08. Rektorsprogrammet, Umeå universitet, examen 17.","Lärare, Bromölla kommun 08–10 och Älvsbyns kommun 10–12. Rektor, Älvsbyns kommun 12–."
"Svedin","Johnny","SD","Norrbottens län","1969","","","Utbildning saknas","","","Anställningar saknas","",""
"Ceimertz","Ludvig","M","Skåne läns norra och östra","1991","","","Utbildning saknas","","","Anställningar saknas","",""
"Elofsson","Torsten","KD","Skåne läns norra och östra","1950","Realexamen; Polischefsutbildning","33","härledd 1966→1999","39","39","spann-summa","Realexamen/Älmhults högre allmänna läroverk 66. Polisskola, Stockholm 71–72. Polischefsutbildning Uppsala och Stockholms universitet 98–99.","Polisassistent/kriminalinspektör, Malmö polisdistrikt 72–84. Utredare, Larmtjänst och Trygg-Hansa 86. Avdelningschef, Securitas 86–89. Utredare Ekoroteln, Malmö polisdistrikt 89–92. Spaningschef Narkotikaroteln, Malmö polisdistrikt 92–96. Chef Kriminalunderrättelsetjänsten, Polismyndigheten i Skåne 92–04. Bitr. polisområdeschef, Polismyndigheten i Skåne 04–06. Internationella uppdrag för OSSE, EU EEAS och Europol 06–13."
"Eskilandersson","Mikael","SD","Skåne läns norra och östra","1977","maskinförarutbildning","2","härledd 1996→1998","18","18","spann-summa","Naturbruksgymnasium, Osby slutår 96. Skoglig maskinförarutbildning, Värnamo 97. PC-tekniker/Webbdesign, Klippan 98.","Skogsmaskinförare, Åsbo skogsentreprenad 96–00. Skogsmaskinförare/övrigt skogsarbete, Göran Långström 00–13. Valsamordnare, Sverigedemokraterna Syd 13–14."
"Håkansson","Per-Arne","S","Skåne läns norra och östra","1963","","","inga årtal","16","31","spann-summa; 2 politiskt segment borträknat","Gymnasieskola, Klippan.","Journalist inom dagspress 83–99 (Helsingborgs Dagblad 83, Arbetet, Malmö 83–99). Ombudsman, Socialdemokraterna i Helsingborg 99–10. Ombudsman, Socialdemokraterna i Skåne 10–14."
"Johnsson","Lars","M","Skåne läns norra och östra","1964","Juristexamen","6","härledd 1983→1989","33","33","spann-summa, pågående=2025","Gymnasieskola, samhällsvetenskaplig linje, Jacobsskolan, Hässleholm slutår 83. Värnplikt, flygvapnet 84. Juristexamen, Lunds universitet 89.","Byrådirektör, Statens Invandrarverk, Malmö92–95. Familjerättsjurist, Anderssons begravningsbyrå, Hässleholm 95–99. Jurist, egen juristbyrå, Osby 99–04. Advokat, egen advokatbyrå, Osby 04–."
"Morell","Thomas","SD","Skåne läns norra och östra","1957","Motorinstruktörutbildning; Bilinspektörutbildning","","inga årtal","","","inga daterade spann","Grundskola. Gymnasieskola, fyraårig teknisk linje. Motorinstruktörutbildning, Frivilliga Automobilkårernas Riksförbund. Bilinspektörutbildning, Polishögskolan.","Volvo Lastvagnar, Skövde. Förare, Hå-Be-Buss, Tidaholm. Förare, Göteborgs spårvägar. Bilinspektör, Polismyndigheten Skaraborg/Västra Götaland. VD, Sveriges Åkeriföretag, Skaraborg. Regionchef, Åkaren i Sverige, Sakkunnig yrkestrafik."
"Persson","Magnus","SD","Skåne läns norra och östra","1970","","","ett årtal (studietid ej härledbar)","31","31","spann-summa, pågående=2025","Gymnasieskola, Sölvesborg, slutår 88.","Nymölla Stora Enso. Sydställningar, BSK ställningsmontage, Bromölla 94–."
"Pihl Krabbe","Ewa","S","Skåne läns norra och östra","1947","","","Utbildning saknas","","","Anställningar saknas","",""
"Söder","Björn","SD","Skåne läns norra och östra","1976","Civilingenjörsexamen","9","härledd 1995→2004","9","9","spann-summa","Gymnasieskola, treårig teknisk linje 95. Värnpliktig fänrik, K3, 98. Civilingenjörsexamen i kemiteknik, Lunds tekniska högskola 04.","Technical management, Unilever AB 05–09. Revision och utveckling av kontrollprogram, Skånemejerier AB 04. Webbproduktion/delägare, BMJ Aktiv HB 00–06."
"Wallentheim","Anna","S","Skåne läns norra och östra","1985","Lärarutbildningen; äldre; lärarexamen","7","härledd 2004→2011","4","4","spann-summa","Hässleholms tekniska skola, slutår 04. Lärarutbildningen för äldre barn och unga, Högskolan Kristianstad, lärarexamen 11.","Lokalvårdare, Solhem, Vittsjö 04–06. Lärare, T4-skolan 4–6, Hässleholm 11–12. Lärare, Västerskolan 7–9, Hässleholm 13–14."
"Ahlström Köster","Emma","M","Skåne läns södra","1987","","","inga årtal","","","Anställningar saknas","Gymnasieskola, Lund. Lärarhögskolan Lund, Malmö.",""
"Andersson","Lars","SD","Skåne läns södra","1964","inriktning","4","härledd 1984→1988","29","29","spann-summa","Eksamen artium, Oslo Handelsgymnasium 84. Bachelor in Business Administration, inriktning International Management, Oklahoma State University 88.","Partiledarassistent Sverigedemokraterna 13–18. Diverse försäljningsrelaterade anställningar (Key Account Manager, Export Manager, Store Manager etc.) 89–13."
"Berginger","Emma","MP","Skåne läns södra","1986","Linköping; Universitetsutbildning","9","härledd 2002→2011","4","4","spann-summa","Gymnasieskola, Folkungaskolan, Linköping, 02–05. Framnäs folkhögskola, musiklinjen, Öjebyn, 05–06. Universitetsutbildning Lunds universitet och Malmö högskola, 06–11.","Kontorsassistent, A:son Ekonomikonsult 02–05. Vårdbiträde, Malmö kommun 06–07 . Projektanställning, Internationella Kvinnoföreningen i Malmö –09 ."
"Engström","Cecilia","KD","Skåne läns södra","1972","Ekon. mag.; Jönköpingg","6","härledd 1991→1997","15","15","spann-summa","Gymnasieskola, ekonomisk linje, slutår 91. Ekon. mag., Internationella handelshögskolan, Jönköpingg 97.","Ekonomichef Jergo 06–19. Ekonomichef Cardello 20–22."
"Fundahn","Marianne","S","Skåne läns södra","1958","","","Utbildning saknas","","","Anställningar saknas","",""
"Gunnarsson","Hanna","V","Skåne läns södra","1983","Gymnasieutbildning; Helsingborg; Lärarutbildning","7","härledd 2002→2009","1","1","spann-summa","Gymnasieutbildning, Johannes Hedbergskolan, Helsingborg, slutår 02. Lärarutbildning, Malmö högskola, 09. Enskilda kurser inom religionsvetenskap och teologi, Lunds universitet.","Studentbostadsadministratör, Lunds universitet, 12–13."
"Johansson","Morgan","S","Skåne läns södra","1970","Helsingborg; Fil.kand.","4","härledd 1989→1993","5","5","spann-summa; 1 politiskt segment borträknat","Gymnasieskola, teknisk linje (kemi), Ängelholm och Helsingborg, slutår 89. Fil.kand., statsvetenskap, Lunds universitet 93.","Redaktör och ledarskribent, Arbetet 94–97. Politiskt sakkunnig, Statsrådsberedningen 97–98. Vikarierande statssekreterare, Justitiedepartementet 00. Sakkunnig, Näringsdepartementet 01–02."
"Larsson","Stina","C","Skåne läns södra","1977","Pol. mag.","7","härledd 1996→2003","8","8","spann-summa","Gymnasieskola, samhällsvetenskaplig linje, Spyken Lund, slutår 96. Pol. mag. Lunds universitet 03","Städare, klädbutik Löddeköpinge 97. Frukostvärdinna, servering, cefébiträde, Centralens Restauranger, Malmö 98–99. Löneadministratör, Lunds universitetssjukhus 00. Löneadministratör, Lunds kommun 01–02. Säljare och demonstratris, Wapnö AB 03. Assistent, verksamhetschef, utredare, socialförvaltningen, Falkenbergs kommun 04–10."
"Magnusson","Adrian","S","Skåne läns södra","1994","Juristexamen","5","härledd 2013→2018","","","inga daterade spann","Gymnasieskola, Ystad, slutår 13. Juristexamen, Lunds universitet 18.","Skattehandläggare, Skatteverket."
"Meijer","Louise","M","Skåne läns södra","1990","Jönköping; Juristutbildning","17","härledd 1997→2014","","","Anställningar saknas","Grundskola, Jönköping 97–06. Gymnasieskola, Jönköping 06–09. Juristutbildning, Lund 09–14.",""
"Mårtensen","Camilla","L","Skåne läns södra","1970","Socionomutbildning; Sommelierutbildning; Yrkeslärarutbildning","23","härledd 1989→2012","36","36","spann-summa, pågående=2025","Gymnasieskola, Trelleborg, slutår 89. Socionomutbildning, Lunds universitet –96. Sommelierutbildning, Malmö 07. Yrkeslärarutbildning, Malmö högskola –12.","AB Mårtensen Consulting 1989–. Kävlinge Golfkrog 89–98 och 00–06. Löddeköpinge Gästgivaregård 92–98. Taste Event 05–09. Lernia, Helsingborg 13. Enhetschef Måltidservice, Landskrona stad 14–17."
"Stegrud","Jessica","SD","Skåne läns södra","1970","Förvaltningslinjen","7","härledd 1989→1996","","","inga daterade spann","Förvaltningslinjen, Högskolan i Karlstad 89–91. Ekonomi, juridik m.m. Högskolan i Gävle 91–93. Ekonomi, konstihistoria m.m. Université d'Angers, Frankrike 93–94. Rexam Management programme for young leaders 96.","Eon, diverse positioner."
"Tiblom","Victoria","SD","Skåne läns södra","1969","Fil.mag.; marknadsföringspsykologi","36","härledd 1985→2021","17","18","spann-summa; 1 politiskt segment borträknat","Ballard High School, Louisville Kentucky 86–87. Gymnasieskola Franska skolan, Stockholm 85–89. Fil.mag., Stockholms universitet, 91–95. Writer's Workshop, San Diego State University 03. Skrivarkurs, Österlens folkhögskola 09–10. Praktisk retorik, marknadsföringspsykologi & inflytande, Lunds universitet, 19–21.","PR-konsult, Jerry Bergström AB, Stockholm 95–96, PiRho 96–98, Florman PR, Stockholm 04–05 och PR-konsulterna, Helsingborg 05–13. Presschef, Swedish Open, Båstad 97–99. Ambassadör för kvinnligt företagande, Tillväxtverket, 08–14. Informatör, ICA Sverige, Helsingborg 13–15. Kommunikatör, Projekt Hallandsås/Trafikverket, Förslöv 15–16 och Nobina Sverige, Helsingborg 17–19."
"Åberg","Boriana","M","Skåne läns södra","1968","civilingenjör; Socionomexamen","16","härledd 1986→2002","33","33","spann-summa, pågående=2025","Gymnasieskola, Bulgarien, slutår 86. Studier till civilingenjör, Tekniska universitetet i Plovdiv, Bulgarien 87–90. Socionomexamen, Lunds universitet 02.","Sekreterare, Safehouse System, Furulund 91–99. Vårdbiträde, hemtjänsten i Kävlinge 00–02. Kurator, Universitetssjukhuset i Lund 02. Socialsekreterare, socialförvaltningen, Helsingborg 02–."
"Atlas","Madeleine","C","Skåne läns västra","1968","","","Utbildning saknas","","","Anställningar saknas","",""
"Broman","Bo","SD","Skåne läns västra","1969","","11","härledd 1988→1999","21","21","spann-summa","Gymnasieskola, naturvetenskaplig linje, slutår 88. Juridik, Lunds universitet 99.","Vårdbiträde, Lunds kommun 91–94. Ekonom, Hotel Stensson, 99–00. Ekonomichef, Revhaken Hotels, 00–04. Vd/ägare, Hotel Stensson, 04–09. Vd, Hotel Jägersro, 09–10. Ekonomichef, Paras Bygg, 10–14. Ekonomichef, Sverigedemokraterna, 15–18."
"Hammar Johnsson","Ann-Charlotte","M","Skåne läns västra","1966","hushållslärarutbildning; Linköpings; Ämneslärarexamen","13","härledd 1985→1998","33","33","spann-summa, pågående=2025","Samhällskunskap och hushållslärarutbildning, Umeå universitet 85–87. Historia, religion och geografi, Linköpings universitet 87–90. Ämneslärarexamen, historisk- och samhällsvetenskaplig linje (160 p), Linköpings universitet 90. Nationalekonomi, Göteborgs universitet 92. Samhällsgeografi, historia, religion och geografi, Lunds universitet 92–98.","Ämneslärare, Perstorps kommun 90–93. Gymnasielärare, Helsingborgs kommun 94–01. Utbildningsplanerare 02–04, biträdande rektor 04–06, rektor 06–, Landskrona-Kävlinge-Svalövs gymnasieförbund. Anställning, Landskrona kommun."
"Heindorff","Ulrika","M","Skåne läns västra","1983","pol. mag.; Jur.kand.","9","härledd 1999→2008","3","6","spann-summa; 1 politiskt segment borträknat","Njudungsgymnasiet, Vetlanda 99–02. En termins studier på pol. mag.-programmet, Göteborgs universitet 02. Jur.kand., Lunds universitet 03–08.","Skadehandläggare och ansvars- och regresshandläggare, Folksam 08–10. Affärsjurist, Nordbro Jurister 10. Skuldsaneringshandläggare, Kronofogdemyndigheten 10–11. Politisk sekreterare, Region Skåne 11–14."
"Karlsson","Niklas","S","Skåne läns västra","1974","","7","härledd 1993→2000","","","inga daterade spann","Gymnasieskola, Landskrona, slutår 93. Värnplikt, Kungl. Wendes Artilleriregemente A3. Lunds universitet 95–00 .","Landskrona kommun, Socialdemokraterna i Landskrona."
"Lindberg","Linda","SD","Skåne läns västra","1974","","","Utbildning saknas","","","Anställningar saknas","",""
"Möller","Ola","S","Skåne läns västra","1983","Fil. mag.","8","härledd 2002→2010","10","14","spann-summa; 1 politiskt segment borträknat","Gymnasieskola, treårig samhällsvetenskaplig linje, slutår 02. Fil. mag., statsvenskap, sociologi, pedagogik och psykologi, Lunds universitet 10.","Lagerarbetare, Tibnor, Malmö 01. Lagerarbetare, Ica-handlarna, Arlöv 03. Restaurangbiträde, Burger King, Lund 04–06. Produktionsledare, Burger King, Lund 06–07. Säljare, Havslunds AS, Oslo 07. Speciallärare, lärare och vikarieansvarig, Centralskolan, Staffanstorp 05–10. Politisk sekreterare, Helsingborgs kommun 10–14. Kommunalråd, Helsingborgs kommun 14–18."
"Nilsson","Agneta","S","Skåne läns västra","1956","","","Utbildning saknas","","","Anställningar saknas","",""
"Rojas","Mauricio","L","Skåne läns västra","1950","Aplicaci; Verkstadsmaskinreparatörsutbildning; Fil.kand.; Fil.dr","34","härledd 1961→1995","35","35","spann-summa","Liceo de Aplicación, Santiago de Chile 61-66. Juridik, Chiles universitet 67-72. Verkstadsmaskinreparatörsutbildning, AMU-center i Uppsala 75-76. Studier vid Lunds universitet 77-86. Fil.kand., Lunds universitet 79. Fil.dr i ekonomisk historia, Lunds universitet 86. Docent, Lunds universitet 95.","Städare, Ulleråkers sjukhus, Uppsala 74-75. Landstingstvätteriet i Arlöv 77-80. Studievägledare, lärare och forskare, Lunds universitet 81-99. VD/vice VD, Timbro 00-04. Rektor, Escuela de Profesionales de Inmigración y Cooperación, Comunidad de Madrid 08–13. Strategisk rådgivare, Presidencia de la República, Chile 18. Professor vid Universidad del Desarrollo, Chile 18–22."
"Trollehjelm","Pia","SD","Skåne läns västra","1967","","","Utbildning saknas","","","Anställningar saknas","",""
"Axén Olin","Kristina","M","Stockholms kommun","1962","Musiklärarexamen","","ett årtal (studietid ej härledbar)","21","21","spann-summa","Musiklärarexamen, Kungliga Musikhögskolan 87.","Musiklärare och biträdande rektor Maria Elementar 87–98. Socialborgarråd Stockholm 98–02. Oppositionsborgarråd 02–06. Finansborgarråd 06–08."
"Bengtsson","Angelika","SD","Stockholms kommun","1990","","","Utbildning saknas","","","Anställningar saknas","",""
"Berglund","Mats","MP","Stockholms kommun","1970","","","Utbildning saknas","","","Anställningar saknas","",""
"Björk","Malin","C","Stockholms kommun","1969","Journalisthögskoleexamen; Jur. kand.","8","härledd 1999→2007","","","Anställningar saknas","Journalisthögskoleexamen, Mitthögskolan 99. Jur. kand., Stockholms universitet 07.",""
"Brodin","Camilla","KD","Stockholms kommun","1979","Jönköping","5","härledd 1998→2003","18","21","spann-summa; 1 politiskt segment borträknat","Gymnasieskola, Jönköping, slutår 98. Lärarprogrammet, Högskolan för lärande och kommunikation, Jönköping 00. Lärarprogrammet, Karlstads universitet 01–02 Lärarprogrammet, Stockholms universitet 03 .","Butiksanställd, Ica Centrumhallen, Tenhult 95–00. Ombudsman KDU Jönköping/Östergötland 98–99. Butiksanställd, ICA Hagahallen, Karlstad 01–03. Ombudsman KD Stockholms län 04–05. Ombudsman KD Stockholms stad 05–06. Sekreterare till KD partistyrelse och partisekreterare, Stockholm 06–09. Organisationssekreterare KD, Stockholm 09–12. Sekreterare till KD gruppledning och chefsgrupp, Stockholm 12–14. Kommunalråd, Täby 14–18."
"Cederfelt","Margareta","M","Stockholms kommun","1959","Fil.mag.","15","härledd 1979→1994","37","37","spann-summa, pågående=2025","Gymnasieskola, vårdlinjen, Malmö, slutår 79. Leg. sjuksköterska, Sophiahemmets sjuksköterskehögskola 82. Fil.mag. socialvetenskap, Uppsala universitet 94.","Sjuksköterska, Ersta sjukhus 82–87. Klinikföreståndare, Långbro sjukhus 87–89. Klinikföreståndare, Karolinska sjukhuset 89–93. Högskoleadjunkt, Sophiahemmets sjuksköterskehögskola 94–99. Chefssjuksköterska, Karolinska universitetssjukhuset 03–04. Projektledare, Karolinska universitetssjukhuset 05–."
"Danielsson","Malin","L","Stockholms kommun","1977","Fil. kand","5","härledd 1996→2001","8","8","spann-summa","Sannarpsgymnasiet, Halmstad, slutår 96. Fil. kand, Lunds universitet 01.","Kommunikatör, Unga Synskadade, Stockholm 01–04. Organisationssekreterare Unga Synskadade, Stockholm 04–08. Kanslichef Unga Synskadade, Stockholm 08–09."
"Delgado Varas","Lorena","-","Stockholms kommun","1974","","","Utbildning saknas","","","Anställningar saknas","",""
"Ekegren","Anders","L","Stockholms kommun","1957","","","Utbildning saknas","","","Anställningar saknas","",""
"Forssell","Joar","L","Stockholms kommun","1993","","","Utbildning saknas","","","Anställningar saknas","",""
"Frost Lindberg","Merit","M","Stockholms kommun","1973","","","Utbildning saknas","","","Anställningar saknas","",""
"Gabrielsson","Ida","V","Stockholms kommun","1981","","","Utbildning saknas","","","Anställningar saknas","",""
"Guteland","Jytte","S","Stockholms kommun","1979","","14","härledd 1998→2012","11","11","spann-summa","Logistikprogrammet, Södertörns Högskola/KTH Södertälje 98–01. Nationalekonomi, Södertörns högskola 01–03. Handelsrätt, Uppsala universitet 01. Magister nationalekonomi, Södertörns högskola 12.","Vårdbiträde, Rosendalsgården 97–00. Politisk sakkunnig, Utbildningsdepartementet 02–03. Politiskt sakkunnig, Finansdepartementet 05–06. Förbundsordförande, Sveriges socialdemokratiska ungdomsförbund 07–11. Tankesmedjan Global Utmaning 12–14."
"Helldén","Daniel","MP","Stockholms kommun","1965","Lidingö; Fil. dr.","21","härledd 1984→2005","17","17","spann-summa","Gångsätra gymnasium, Lidingö, slutår 84. Fil. dr. statsvetenskap, Stockholms universitet 05.","Lektor, Stockholms universitet 05–11. Lektor, Mälardalens högskola 11. Oppositionsborgarråd, Stockholm 11–14. Trafikborgarråd 14–22."
"Kallifatides","Markus","S","Stockholms kommun","1972","Huddingegymnasiet; Ekon. dr.","12","härledd 1990→2002","13","13","spann-summa, pågående=2025","Gymnasieskola, 3-årig naturvetenskaplig linje, Huddingegymnasiet, slutår 90. Civilekonom, Handelshögskolan, Stockholm 95. Ekon. dr., Handelshögskolan, Stockholm 02.","Assistant professor, Handelshögskolan, Stockholm 03. Gästforskare, University of Queensland, Australien 08–09. Associate professor (Docent), Handelshögskolan, Stockholm 11. Matts Carlgren Associate Professor of Management, Handelshögskolan, Stockholm 13–."
"Karapet","Arin","-","Stockholms kommun","1988","","","Utbildning saknas","","","Anställningar saknas","",""
"Kasirga","Kadir","S","Stockholms kommun","1975","","10","härledd 1996→2006","14","14","spann-summa","Grundskola, Turkiet. Gymnasieskola, samhällsvetenskapliga programmet, Kärrtorp, Stockholm, slutår 96. Långholmens folkhögskola, samhällspolitiska programmet 98. Södertörns högskola, kultur-, samhälls- och historieprogrammet, idéhistoria, statsvetenskap 99–06 .","Tågvärd, Connex Tunnelbanan, Stockholm 00–03. SL kundtjänst 04–08. Biljettkontrollant, Securitas AB 08–10. Biljettkontrollant och spärrexpeditör MTR AB 10–15. Kriminalvårdare, Kriminalvården 12–15."
"Kärrholm","Fredrik","M","Stockholms kommun","1985","","","Utbildning saknas","","","Anställningar saknas","",""
"Lennkvist Manriquez","Andreas","V","Stockholms kommun","1994","","","Utbildning saknas","","","Anställningar saknas","",""
"Luhr","Katarina","MP","Stockholms kommun","1973","Apotekarexamen; Doktorsexamen","5","härledd 1999→2004","23","23","spann-summa","Apotekarexamen, Uppsala universitet 99. Doktorsexamen neurovetenskap, Karolinska Institutet 04.","Forskarutbildning, Karolinska Institutet 99–04. Postdocstipendiat, Karolinska Institutet, 04–09. Apotekare, Giftinformationscentralen 09–14. Miljö- och klimatborgarråd, Stockholms stad 14–22."
"Nordblom","Carl","M","Stockholms kommun","1994","","","ett årtal (studietid ej härledbar)","1","6","spann-summa; 3 politiskt segment borträknat","Gymnasieskola, Norra Real, Stockholm, slutår 13. Studier i statsvetenskap, nationalekonomi och historia, Stockholms universitet. Studier i medie- och kommunikationsvetenskap, Uppsala universitet.","Valombudsman, Moderata ungdomsförbundet i Stockholm 14. Chefsombudsman, Moderata ungdomsförbundet i Stockholm 16–18. Politisk sekreterare, Ekerö kommun 18–21. Projektledare, Svenskt Näringsliv 21–22."
"Redar","Lawen","S","Stockholms kommun","1989","","","Utbildning saknas","","","Anställningar saknas","",""
"Rågsjö","Karin","V","Stockholms kommun","1955","Socionomexamen","","inga årtal","35","35","spann-summa","Socionomexamen, utbildad familjeterapeut, diplomerad i PR och kommunikation på Berghs.","Fältassistent, Solna kommun 78–82. Behandlingsassistent, Stockholms läns landsting 82–86. Behandlingsassistent, Stockholms kommun 86–87. Byrådirektör, Socialstyrelsen 87–91. Informatör, Fia projektet 91–94. Avdelningsdirektör, Folkhälsoinstitutet 94–98. Borgarrådssekreterare, Vänsterpartiet, Stockholm 98–00. Preventionsenheten, Stockholms stad 00–01. Projektledare, Alkoholkommittén 01–07. Kommunikationsstrateg, Socialstyrelsen, Smittskyddsinstitutet, Folkhälsomyndigheten 08–14."
